"","Df","SumOfSqs","R2","F","Pr(>F)","group1","group2"
"1","1","0.0884438673230869","0.0647555256055164","65.5002289775408","0.001","Agy","Amuc I"
"2","1","0.0804525013573107","0.297421856544163","77.0459178032203","0.001","Agy","Amuc II"
"3","1","0.055353605331238","0.894794065756621","51.0310034614575","0.015","Agy","Akk sp. V"
"4","1","0.0544819683184954","0.915100903084347","75.4508181394969","0.014","Agy","Amuc III"
"5","1","0.0793373120860148","0.529958365221746","71.030680132667","0.001","Agy","Amuc IV"
"6","1","0.051162670382357","0.954338157201076","62.7003707277156","0.1","Agy","Akk sp. VI"
"7","1","1.03751987335274","0.414742964880268","796.523688826837","0.001","Amuc I","Amuc II"
"8","1","0.131699053507097","0.0932555941765067","97.4985924495881","0.001","Amuc I","Akk sp. V"
"9","1","0.0435077023546388","0.0328957706560691","32.2799605310251","0.001","Amuc I","Amuc III"
"10","1","0.470623705830637","0.259293739303957","351.813157020708","0.001","Amuc I","Amuc IV"
"11","1","0.107585809964571","0.0777318143662997","79.6477268980937","0.001","Amuc I","Akk sp. VI"
"12","1","0.113515609957671","0.370079282741413","108.100251601134","0.001","Amuc II","Akk sp. V"
"13","1","0.0125423508626913","0.0613899281183594","12.0999518779174","0.001","Amuc II","Amuc III"
"14","1","0.258196965029386","0.501086895724681","242.050050068452","0.001","Amuc II","Amuc IV"
"15","1","0.113518908064908","0.375050601800361","108.623448748694","0.002","Amuc II","Akk sp. VI"
"16","1","0.0598704861794843","0.879212632171999","65.5111029558639","0.003","Akk sp. V","Amuc III"
"17","1","0.106177283742458","0.590808400422106","93.8497908242775","0.001","Akk sp. V","Amuc IV"
"18","1","0.0884876517696839","0.94029670500676","78.7474715686324","0.059","Akk sp. V","Akk sp. VI"
"19","1","0.0248721240087632","0.256528780292292","22.772770553173","0.001","Amuc III","Amuc IV"
"20","1","0.0826050788129434","0.952001639494311","119.004269662269","0.042","Amuc III","Akk sp. VI"
"21","1","0.0990935984086315","0.587843829469825","88.4284162972659","0.002","Amuc IV","Akk sp. VI"
"22","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0"
"35","0","0","0","0","0","0","0"
"36","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0"
"38","0","0","0","0","0","0","0"
"39","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0"
"41","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0"
"51","0","0","0","0","0","0","0"
"52","0","0","0","0","0","0","0"
"53","0","0","0","0","0","0","0"
"54","0","0","0","0","0","0","0"
"55","0","0","0","0","0","0","0"
"56","0","0","0","0","0","0","0"
"57","0","0","0","0","0","0","0"
"58","0","0","0","0","0","0","0"
"59","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0"
"61","0","0","0","0","0","0","0"
"62","0","0","0","0","0","0","0"
"63","0","0","0","0","0","0","0"
"64","0","0","0","0","0","0","0"
"65","0","0","0","0","0","0","0"
"66","0","0","0","0","0","0","0"
"67","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0"
"71","0","0","0","0","0","0","0"
"72","0","0","0","0","0","0","0"
"73","0","0","0","0","0","0","0"
"74","0","0","0","0","0","0","0"
"75","0","0","0","0","0","0","0"
"76","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0"
"78","0","0","0","0","0","0","0"
"79","0","0","0","0","0","0","0"
"80","0","0","0","0","0","0","0"
"81","0","0","0","0","0","0","0"
"82","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0"
"84","0","0","0","0","0","0","0"
"85","0","0","0","0","0","0","0"
"86","0","0","0","0","0","0","0"
"87","0","0","0","0","0","0","0"
"88","0","0","0","0","0","0","0"
"89","0","0","0","0","0","0","0"
"90","0","0","0","0","0","0","0"
"91","0","0","0","0","0","0","0"
"92","0","0","0","0","0","0","0"
"93","0","0","0","0","0","0","0"
"94","0","0","0","0","0","0","0"
"95","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0"
"97","0","0","0","0","0","0","0"
"98","0","0","0","0","0","0","0"
"99","0","0","0","0","0","0","0"
