".y.","group1","group2","p","p.adj","p.format","p.signif","method","contig"
"value","after","before",0.524741266942694,0.52,"0.52","ns","Wilcoxon","Pro.T200.bin37"
"value","after","before",0.195389344760096,0.2,"0.2","ns","Wilcoxon","Pro.T189.bin64"
"value","after","before",0.554554097961038,0.55,"0.55","ns","Wilcoxon","Pro.T209.bin11"
"value","after","before",0.50842675087861,0.51,"0.51","ns","Wilcoxon","Pro.T219.bin26"
"value","after","before",0.656598876033838,0.66,"0.66","ns","Wilcoxon","Pro.T212.bin45"
"value","after","before",0.360375776141311,0.36,"0.36","ns","Wilcoxon","Pro.T203.bin7"
"value","after","before",0.524741266942694,0.52,"0.52","ns","Wilcoxon","Pro.T200.bin37"
"value","after","before",0.890330400362518,0.89,"0.89","ns","Wilcoxon","Pro.T216.bin9"
"value","after","before",0.512016819358779,0.51,"0.51","ns","Wilcoxon","Pro.T205.bin30"
"value","after","before",0.292571188415271,0.29,"0.29","ns","Wilcoxon","Pro.T207.bin34"
"value","after","before",0.00393889071098412,0.0039,"0.0039","**","Wilcoxon","Pro.T029.bin77"
"value","after","before",0.997754756797245,1,"1","ns","Wilcoxon","Pro.T217.bin35"
